GP;date;year;month;day;T;P;Q_obs;Q_sim
76075 Kosa;01.01.2008;2008;1;1;-6.5;0.6;10.6;0
76075 Kosa;02.01.2008;2008;1;2;-16.1;0;10.6;0
76075 Kosa;03.01.2008;2008;1;3;-13.8;0.9;10.6;0
76075 Kosa;04.01.2008;2008;1;4;-13.2;0.7;10.6;0
76075 Kosa;05.01.2008;2008;1;5;-11.7;0.4;10.2;0
76075 Kosa;06.01.2008;2008;1;6;-11.8;0.2;10.4;0
76075 Kosa;07.01.2008;2008;1;7;-18.5;0;10.4;0
76075 Kosa;08.01.2008;2008;1;8;-23.1;0;10.4;0
76075 Kosa;09.01.2008;2008;1;9;-27.1;0;9.9;0
76075 Kosa;10.01.2008;2008;1;10;-24;0;9.9;0
76075 Kosa;11.01.2008;2008;1;11;-25.4;0;9.57;0
76075 Kosa;12.01.2008;2008;1;12;-21.6;1.8;9.57;0
76075 Kosa;13.01.2008;2008;1;13;-14.4;6.5;9.72;0
76075 Kosa;14.01.2008;2008;1;14;-9.8;3.9;9.72;0
76075 Kosa;15.01.2008;2008;1;15;-6.8;4.8;9.38;0
76075 Kosa;16.01.2008;2008;1;16;-4.4;2.6;9.24;0
76075 Kosa;17.01.2008;2008;1;17;-2.7;0;9.1;0
76075 Kosa;18.01.2008;2008;1;18;-6.4;0.3;8.96;0
76075 Kosa;19.01.2008;2008;1;19;-7.8;0;8.96;0
76075 Kosa;20.01.2008;2008;1;20;-8.5;0;8.82;0
76075 Kosa;21.01.2008;2008;1;21;-11.1;0;8.96;0
76075 Kosa;22.01.2008;2008;1;22;-10.6;0.5;8.96;0
76075 Kosa;23.01.2008;2008;1;23;-9.8;5.9;9.1;0
76075 Kosa;24.01.2008;2008;1;24;-7.7;1;8.91;0
76075 Kosa;25.01.2008;2008;1;25;-11.4;4.1;8.91;0
76075 Kosa;26.01.2008;2008;1;26;-11.6;1.7;8.91;0
76075 Kosa;27.01.2008;2008;1;27;-7.4;2.2;9.05;0
76075 Kosa;28.01.2008;2008;1;28;-6.5;2.8;9.18;0
76075 Kosa;29.01.2008;2008;1;29;-7.4;1.6;9.18;0
76075 Kosa;30.01.2008;2008;1;30;-6.2;0;9.45;0
76075 Kosa;31.01.2008;2008;1;31;-7;1.2;9.45;0
76075 Kosa;01.02.2008;2008;2;1;-5.8;4.5;9.23;0
76075 Kosa;02.02.2008;2008;2;2;-6.3;0;9.49;0
76075 Kosa;03.02.2008;2008;2;3;-6.5;0.3;9.62;0
76075 Kosa;04.02.2008;2008;2;4;-4.8;3.1;9.88;0
76075 Kosa;05.02.2008;2008;2;5;-4.2;0.3;10;0
76075 Kosa;06.02.2008;2008;2;6;-7.6;0.5;10.1;0
76075 Kosa;07.02.2008;2008;2;7;-18.7;0;10.3;0
76075 Kosa;08.02.2008;2008;2;8;-18.4;0;10.4;0
76075 Kosa;09.02.2008;2008;2;9;-10.8;4.3;10.5;0
76075 Kosa;10.02.2008;2008;2;10;-5.1;4.7;10.5;0
76075 Kosa;11.02.2008;2008;2;11;-3.2;5.5;10.5;0
76075 Kosa;12.02.2008;2008;2;12;-2.2;1.8;10.3;0
76075 Kosa;13.02.2008;2008;2;13;-1.6;0;10.3;0
76075 Kosa;14.02.2008;2008;2;14;-2.7;0.5;10.3;0
76075 Kosa;15.02.2008;2008;2;15;-5.9;0.3;10.3;0
76075 Kosa;16.02.2008;2008;2;16;-9.8;1.6;10.4;0
76075 Kosa;17.02.2008;2008;2;17;-17.6;0.2;10.4;0
76075 Kosa;18.02.2008;2008;2;18;-19.1;0.4;10.4;0
76075 Kosa;19.02.2008;2008;2;19;-14.5;2.9;10.4;0
76075 Kosa;20.02.2008;2008;2;20;-12.5;1.9;10.4;0
76075 Kosa;21.02.2008;2008;2;21;-15.7;0;10.4;0
76075 Kosa;22.02.2008;2008;2;22;-13.6;0.6;10.4;0
76075 Kosa;23.02.2008;2008;2;23;-5;3.4;10.5;0
76075 Kosa;24.02.2008;2008;2;24;-0.6;6.6;10.5;0
76075 Kosa;25.02.2008;2008;2;25;-12.3;1;10.5;0
76075 Kosa;26.02.2008;2008;2;26;-12;1.2;10.5;0
76075 Kosa;27.02.2008;2008;2;27;-11.8;0;10.5;0
76075 Kosa;28.02.2008;2008;2;28;-11.8;1.4;10.1;0
76075 Kosa;29.02.2008;2008;2;29;-1.5;2.8;10.1;0
76075 Kosa;01.03.2008;2008;3;1;-4.9;3.3;10.2;0
76075 Kosa;02.03.2008;2008;3;2;-10.5;0.9;10.2;0
76075 Kosa;03.03.2008;2008;3;3;-0.3;9.9;10.2;0
76075 Kosa;04.03.2008;2008;3;4;1.3;1.3;9.89;0
76075 Kosa;05.03.2008;2008;3;5;0.2;7.2;9.89;0
76075 Kosa;06.03.2008;2008;3;6;-3.5;0.8;9.89;0
76075 Kosa;07.03.2008;2008;3;7;-4.7;1.7;10;0
76075 Kosa;08.03.2008;2008;3;8;-2.5;6;10.1;0
76075 Kosa;09.03.2008;2008;3;9;-5.8;8;10.2;0
76075 Kosa;10.03.2008;2008;3;10;-9.5;0;9.79;0
76075 Kosa;11.03.2008;2008;3;11;-8.1;0;9.9;0
76075 Kosa;12.03.2008;2008;3;12;-2.8;0;10;0
76075 Kosa;13.03.2008;2008;3;13;-2.2;2.1;10.1;0
76075 Kosa;14.03.2008;2008;3;14;-0.2;1.6;10.4;0
76075 Kosa;15.03.2008;2008;3;15;-7.7;0.6;10.6;0
76075 Kosa;16.03.2008;2008;3;16;-7;0;10.6;0
76075 Kosa;17.03.2008;2008;3;17;-5.9;0;10.7;0
76075 Kosa;18.03.2008;2008;3;18;-4.6;0.9;10.7;0
76075 Kosa;19.03.2008;2008;3;19;-4.3;0.8;10.7;0
76075 Kosa;20.03.2008;2008;3;20;-3.8;1.8;11.2;0
76075 Kosa;21.03.2008;2008;3;21;-1.8;0.3;11.2;0
76075 Kosa;22.03.2008;2008;3;22;-3.1;0.6;11.4;0
76075 Kosa;23.03.2008;2008;3;23;-4.4;0;11.4;0
76075 Kosa;24.03.2008;2008;3;24;-3.1;3.1;11.9;0
76075 Kosa;25.03.2008;2008;3;25;1.8;0.4;11.9;0
76075 Kosa;26.03.2008;2008;3;26;6.1;0;12.6;0
76075 Kosa;27.03.2008;2008;3;27;8.5;0;12.6;0.04
76075 Kosa;28.03.2008;2008;3;28;6;1.6;12.6;0.33
76075 Kosa;29.03.2008;2008;3;29;2.3;0;12.9;0.92
76075 Kosa;30.03.2008;2008;3;30;1;0;12.9;1.54
76075 Kosa;31.03.2008;2008;3;31;-0.3;0.3;13.4;1.89
76075 Kosa;01.04.2008;2008;4;1;3;0;14.3;2.07
76075 Kosa;02.04.2008;2008;4;2;5.8;0;15;2.73
76075 Kosa;03.04.2008;2008;4;3;5.9;0;15.7;4.53
76075 Kosa;04.04.2008;2008;4;4;1.1;0;16.7;6.82
76075 Kosa;05.04.2008;2008;4;5;-5.3;0;18;8.43
76075 Kosa;06.04.2008;2008;4;6;-0.7;0;19.6;8.83
76075 Kosa;07.04.2008;2008;4;7;6.3;0;22.3;9.48
76075 Kosa;08.04.2008;2008;4;8;3;1.5;26.3;11.75
76075 Kosa;09.04.2008;2008;4;9;7.1;0;29.9;16.37
76075 Kosa;10.04.2008;2008;4;10;9.5;1.4;36.6;25.15
76075 Kosa;11.04.2008;2008;4;11;10.8;0;47.9;40.73
76075 Kosa;12.04.2008;2008;4;12;12.9;2.2;58.8;67.26
76075 Kosa;13.04.2008;2008;4;13;-2.2;2.2;82.2;94.92
76075 Kosa;14.04.2008;2008;4;14;-5.8;0;129;110.3
76075 Kosa;15.04.2008;2008;4;15;-4.9;0;195;109.5
76075 Kosa;16.04.2008;2008;4;16;-2;0;238;100.85
76075 Kosa;17.04.2008;2008;4;17;4.1;0;264;95.73
76075 Kosa;18.04.2008;2008;4;18;6.5;0;307;93.17
76075 Kosa;19.04.2008;2008;4;19;7.5;0;332;91.18
76075 Kosa;20.04.2008;2008;4;20;5.8;5.6;346;90.14
76075 Kosa;21.04.2008;2008;4;21;2;0;351;90.01
76075 Kosa;22.04.2008;2008;4;22;8.6;1.3;348;90.25
76075 Kosa;23.04.2008;2008;4;23;3.5;5.1;343;90.61
76075 Kosa;24.04.2008;2008;4;24;0.9;0;337;90.73
76075 Kosa;25.04.2008;2008;4;25;2.1;0.3;336;90.56
76075 Kosa;26.04.2008;2008;4;26;-0.3;1.1;341;88.77
76075 Kosa;27.04.2008;2008;4;27;-1.4;0.3;341;85.7
76075 Kosa;28.04.2008;2008;4;28;0.6;0;337;82.66
76075 Kosa;29.04.2008;2008;4;29;0.1;0;327;79.65
76075 Kosa;30.04.2008;2008;4;30;0.8;0;307;76.75
76075 Kosa;01.05.2008;2008;5;1;2.4;4.1;276;75.11
76075 Kosa;02.05.2008;2008;5;2;2.6;0.8;234;74.86
76075 Kosa;03.05.2008;2008;5;3;4.2;0;182;74.8
76075 Kosa;04.05.2008;2008;5;4;8.8;0;148;73.59
76075 Kosa;05.05.2008;2008;5;5;11.3;0;129;71.09
76075 Kosa;06.05.2008;2008;5;6;14.5;0;122;68.5
76075 Kosa;07.05.2008;2008;5;7;8.7;0.4;122;66.07
76075 Kosa;08.05.2008;2008;5;8;1.9;0.3;126;63.83
76075 Kosa;09.05.2008;2008;5;9;4.5;0;133;61.72
76075 Kosa;10.05.2008;2008;5;10;6.9;0;138;59.62
76075 Kosa;11.05.2008;2008;5;11;11.2;0;141;57.5
76075 Kosa;12.05.2008;2008;5;12;12.7;0;138;55.4
76075 Kosa;13.05.2008;2008;5;13;18.1;0;126;53.39
76075 Kosa;14.05.2008;2008;5;14;18.6;0;111;51.44
76075 Kosa;15.05.2008;2008;5;15;13.2;2.3;94.8;49.72
76075 Kosa;16.05.2008;2008;5;16;3.4;6.8;82;48.62
76075 Kosa;17.05.2008;2008;5;17;6.2;0;74.5;47.98
76075 Kosa;18.05.2008;2008;5;18;9.5;6.8;71;47.7
76075 Kosa;19.05.2008;2008;5;19;11.9;15.2;71;48.67
76075 Kosa;20.05.2008;2008;5;20;13.5;13;75.9;52.27
76075 Kosa;21.05.2008;2008;5;21;12.4;1.4;86;57.27
76075 Kosa;22.05.2008;2008;5;22;8;0;97.2;60.54
76075 Kosa;23.05.2008;2008;5;23;2.2;0;108;60.6
76075 Kosa;24.05.2008;2008;5;24;4.5;0;112;58.64
76075 Kosa;25.05.2008;2008;5;25;6.8;0;112;56.51
76075 Kosa;26.05.2008;2008;5;26;7.4;0;105;54.45
76075 Kosa;27.05.2008;2008;5;27;9.7;0;93.2;52.47
76075 Kosa;28.05.2008;2008;5;28;12.1;0;76.6;50.56
76075 Kosa;29.05.2008;2008;5;29;10.1;4.2;64;49.09
76075 Kosa;30.05.2008;2008;5;30;7.5;4.6;55.7;48.46
76075 Kosa;31.05.2008;2008;5;31;8.7;2;51.2;48.49
76075 Kosa;01.06.2008;2008;6;1;7.9;0.75;49.9;48.41
76075 Kosa;02.06.2008;2008;6;2;11.23;0;50.5;47.62
76075 Kosa;03.06.2008;2008;6;3;11.65;0.4;55.7;46.27
76075 Kosa;04.06.2008;2008;6;4;10.35;0.75;66.1;44.77
76075 Kosa;05.06.2008;2008;6;5;10.93;0.88;75.9;43.37
76075 Kosa;06.06.2008;2008;6;6;5.8;1.08;78.8;42.1
76075 Kosa;07.06.2008;2008;6;7;3.04;1;73.1;40.9
76075 Kosa;08.06.2008;2008;6;8;3.04;0.1;65.4;39.7
76075 Kosa;09.06.2008;2008;6;9;5.7;1.05;57.7;38.49
76075 Kosa;10.06.2008;2008;6;10;10.65;0.75;51.8;37.28
76075 Kosa;11.06.2008;2008;6;11;13.14;1.25;46.6;36.14
76075 Kosa;12.06.2008;2008;6;12;13.94;6.85;43.4;35.28
76075 Kosa;13.06.2008;2008;6;13;15.11;3.3;39.5;34.74
76075 Kosa;14.06.2008;2008;6;14;18.6;3;37.5;34.4
76075 Kosa;15.06.2008;2008;6;15;16.41;0;36.3;33.93
76075 Kosa;16.06.2008;2008;6;16;18.91;0;36.9;33.09
76075 Kosa;17.06.2008;2008;6;17;20.59;1.13;39.5;32.04
76075 Kosa;18.06.2008;2008;6;18;17.89;21.88;42.1;31.29
76075 Kosa;19.06.2008;2008;6;19;18.1;11.75;41.4;31.69
76075 Kosa;20.06.2008;2008;6;20;19.1;0.75;38.8;32.88
76075 Kosa;21.06.2008;2008;6;21;17.26;0;37.5;33.7
76075 Kosa;22.06.2008;2008;6;22;19.98;0;42.7;33.37
76075 Kosa;23.06.2008;2008;6;23;21.26;0;58.4;32.22
76075 Kosa;24.06.2008;2008;6;24;22.7;0;72.4;31.05
76075 Kosa;25.06.2008;2008;6;25;24.5;0;78;29.92
76075 Kosa;26.06.2008;2008;6;26;23.69;0;68.2;28.83
76075 Kosa;27.06.2008;2008;6;27;19.11;0.23;49.2;27.78
76075 Kosa;28.06.2008;2008;6;28;17.14;1.33;36.3;26.78
76075 Kosa;29.06.2008;2008;6;29;17.36;36;29.8;26.05
76075 Kosa;30.06.2008;2008;6;30;16.53;10.75;28.2;26.56
76075 Kosa;01.07.2008;2008;7;1;16.94;0.13;29.3;28.06
76075 Kosa;02.07.2008;2008;7;2;16.31;0.38;34.5;29.33
76075 Kosa;03.07.2008;2008;7;3;18.28;0;44;29.36
76075 Kosa;04.07.2008;2008;7;4;15.65;0;49.9;28.39
76075 Kosa;05.07.2008;2008;7;5;17.64;0;48.6;27.39
76075 Kosa;06.07.2008;2008;7;6;18.81;0.1;42.1;26.4
76075 Kosa;07.07.2008;2008;7;7;19.74;6.25;35.1;25.65
76075 Kosa;08.07.2008;2008;7;8;16.56;6.75;30.9;25.38
76075 Kosa;09.07.2008;2008;7;9;19.74;0.5;28.2;25.38
76075 Kosa;10.07.2008;2008;7;10;19.83;10;27.1;25.54
76075 Kosa;11.07.2008;2008;7;11;20.15;4.8;28.7;25.81
76075 Kosa;12.07.2008;2008;7;12;23.08;0;32.1;26.02
76075 Kosa;13.07.2008;2008;7;13;21.89;0;35.1;25.87
76075 Kosa;14.07.2008;2008;7;14;22.11;5;36.9;25.28
76075 Kosa;15.07.2008;2008;7;15;22.43;0.18;38.8;24.59
76075 Kosa;16.07.2008;2008;7;16;22.65;1.03;40.8;23.96
76075 Kosa;17.07.2008;2008;7;17;18.96;0;43.4;23.24
76075 Kosa;18.07.2008;2008;7;18;21.79;0;42.7;22.44
76075 Kosa;19.07.2008;2008;7;19;24.3;0;36.9;21.64
76075 Kosa;20.07.2008;2008;7;20;24.56;0;30.4;20.85
76075 Kosa;21.07.2008;2008;7;21;23.24;0;26;20.09
76075 Kosa;22.07.2008;2008;7;22;24.83;0;23.5;19.36
76075 Kosa;23.07.2008;2008;7;23;24.93;0;21.5;18.66
76075 Kosa;24.07.2008;2008;7;24;22.33;0;19.5;17.98
76075 Kosa;25.07.2008;2008;7;25;17.88;0;18;17.32
76075 Kosa;26.07.2008;2008;7;26;15.19;0;17;16.69
76075 Kosa;27.07.2008;2008;7;27;12.04;0;16.5;16.08
76075 Kosa;28.07.2008;2008;7;28;13.68;0;15.7;15.5
76075 Kosa;29.07.2008;2008;7;29;12.94;0.68;15.3;14.93
76075 Kosa;30.07.2008;2008;7;30;13.76;4.48;15;14.39
76075 Kosa;31.07.2008;2008;7;31;13.31;9.75;15;13.88
76075 Kosa;01.08.2008;2008;8;1;15.01;0.5;14.6;13.41
76075 Kosa;02.08.2008;2008;8;2;15.18;3.15;14.6;12.97
76075 Kosa;03.08.2008;2008;8;3;10.74;3.25;14.6;12.57
76075 Kosa;04.08.2008;2008;8;4;10.13;0.03;15;12.2
76075 Kosa;05.08.2008;2008;8;5;8.2;3.08;15.7;11.85
76075 Kosa;06.08.2008;2008;8;6;10.46;0.15;16.5;11.49
76075 Kosa;07.08.2008;2008;8;7;10.54;2.45;16.5;11.14
76075 Kosa;08.08.2008;2008;8;8;10.43;0.3;16;10.81
76075 Kosa;09.08.2008;2008;8;9;12.81;0;16;10.47
76075 Kosa;10.08.2008;2008;8;10;15.03;2.03;16;10.13
76075 Kosa;11.08.2008;2008;8;11;17.11;0.08;15.7;9.8
76075 Kosa;12.08.2008;2008;8;12;17.28;9;15.7;9.53
76075 Kosa;13.08.2008;2008;8;13;17.5;3;15.7;9.36
76075 Kosa;14.08.2008;2008;8;14;18.73;0.1;15;9.22
76075 Kosa;15.08.2008;2008;8;15;21.31;0;14.6;9.04
76075 Kosa;16.08.2008;2008;8;16;18.38;0;14.3;8.76
76075 Kosa;17.08.2008;2008;8;17;18.18;0;13.6;8.44
76075 Kosa;18.08.2008;2008;8;18;19.38;5;13.2;8.16
76075 Kosa;19.08.2008;2008;8;19;14.44;18.35;13.2;8.08
76075 Kosa;20.08.2008;2008;8;20;14.98;14.28;12.9;8.73
76075 Kosa;21.08.2008;2008;8;21;15.24;0.2;13.9;9.91
76075 Kosa;22.08.2008;2008;8;22;16.36;3.83;15.7;11.13
76075 Kosa;23.08.2008;2008;8;23;16.09;5.25;19.5;12.17
76075 Kosa;24.08.2008;2008;8;24;15.45;2;28.7;13.08
76075 Kosa;25.08.2008;2008;8;25;14.69;4.85;37.5;14.18
76075 Kosa;26.08.2008;2008;8;26;18.5;1.35;39.5;15.07
76075 Kosa;27.08.2008;2008;8;27;18.09;1.5;35.7;15.64
76075 Kosa;28.08.2008;2008;8;28;12.73;5;30.9;16.1
76075 Kosa;29.08.2008;2008;8;29;12.14;1.25;27.6;16.5
76075 Kosa;30.08.2008;2008;8;30;14.61;8.75;27.6;17.33
76075 Kosa;31.08.2008;2008;8;31;14.05;9.25;27.1;19.06
76075 Kosa;01.09.2008;2008;9;1;8.23;9.83;26.6;22.19
76075 Kosa;02.09.2008;2008;9;2;5.08;4.48;26.6;26.25
76075 Kosa;03.09.2008;2008;9;3;4.75;4.05;28.7;30.08
76075 Kosa;04.09.2008;2008;9;4;6.09;0.23;35.1;32.57
76075 Kosa;05.09.2008;2008;9;5;12.96;0.98;44.7;33.46
76075 Kosa;06.09.2008;2008;9;6;17.19;1.65;52.5;33.47
76075 Kosa;07.09.2008;2008;9;7;13.99;1.25;56.4;33.22
76075 Kosa;08.09.2008;2008;9;8;10.19;9.43;56.4;34.15
76075 Kosa;09.09.2008;2008;9;9;7.58;8.63;57;37.18
76075 Kosa;10.09.2008;2008;9;10;5.81;1.1;59.8;41.23
76075 Kosa;11.09.2008;2008;9;11;6.81;0.75;66.1;44.13
76075 Kosa;12.09.2008;2008;9;12;6.25;0;73.1;44.53
76075 Kosa;13.09.2008;2008;9;13;5.5;0.23;82;43.42
76075 Kosa;14.09.2008;2008;9;14;6.2;2.68;90;42.46
76075 Kosa;15.09.2008;2008;9;15;3.93;0;90;41.83
76075 Kosa;16.09.2008;2008;9;16;4.59;0.25;81.2;41.21
76075 Kosa;17.09.2008;2008;9;17;6.1;0.55;67.5;40.28
76075 Kosa;18.09.2008;2008;9;18;5.49;0.03;55.1;39.06
76075 Kosa;19.09.2008;2008;9;19;6.04;0.48;47.9;37.9
76075 Kosa;20.09.2008;2008;9;20;5.5;0.3;42.7;36.78
76075 Kosa;21.09.2008;2008;9;21;6.2;0;38.2;35.65
76075 Kosa;22.09.2008;2008;9;22;7.24;0;35.7;34.49
76075 Kosa;23.09.2008;2008;9;23;7.74;0;33.3;33.27
76075 Kosa;24.09.2008;2008;9;24;7.63;0;30.9;32.06
76075 Kosa;25.09.2008;2008;9;25;5.49;4;29.8;31.27
76075 Kosa;26.09.2008;2008;9;26;0.59;2.13;28.7;30.89
76075 Kosa;27.09.2008;2008;9;27;0.5;1.38;27.6;30.52
76075 Kosa;28.09.2008;2008;9;28;0.7;1.35;27.1;29.79
76075 Kosa;29.09.2008;2008;9;29;3.94;8.75;26.6;29.97
76075 Kosa;30.09.2008;2008;9;30;6.61;0;26.6;31.39
76075 Kosa;01.10.2008;2008;10;1;6.74;1.25;27.6;32.94
76075 Kosa;02.10.2008;2008;10;2;8.03;4.43;28.7;33.94
76075 Kosa;03.10.2008;2008;10;3;8.39;2.55;29.8;34.63
76075 Kosa;04.10.2008;2008;10;4;9.45;0.33;33.3;35.54
76075 Kosa;05.10.2008;2008;10;5;13.31;0.55;36.3;35.77
76075 Kosa;06.10.2008;2008;10;6;12.09;0;39.5;35.09
76075 Kosa;07.10.2008;2008;10;7;13.04;0.15;42.1;34.04
76075 Kosa;08.10.2008;2008;10;8;9.23;2.45;42.1;33.2
76075 Kosa;09.10.2008;2008;10;9;4.04;0.5;40.1;32.65
76075 Kosa;10.10.2008;2008;10;10;2.56;0.63;37.5;32.24
76075 Kosa;11.10.2008;2008;10;11;0.41;0.48;35.7;31.61
76075 Kosa;12.10.2008;2008;10;12;-0.15;3;34.5;30.66
76075 Kosa;13.10.2008;2008;10;13;3.15;6.5;33.9;30.67
76075 Kosa;14.10.2008;2008;10;14;1.88;1.8;33.3;31.92
76075 Kosa;15.10.2008;2008;10;15;0.35;4;33.9;33.38
76075 Kosa;16.10.2008;2008;10;16;-0.21;3.73;36.3;33.74
76075 Kosa;17.10.2008;2008;10;17;-1.4;0.08;39.5;32.77
76075 Kosa;18.10.2008;2008;10;18;2.55;0.13;53.1;31.97
76075 Kosa;19.10.2008;2008;10;19;6.48;0.18;64.7;32.34
76075 Kosa;20.10.2008;2008;10;20;4.33;1.43;69.6;33.64
76075 Kosa;21.10.2008;2008;10;21;2.7;2.38;70.3;35.1
76075 Kosa;22.10.2008;2008;10;22;3.65;0.03;66.8;35.75
76075 Kosa;23.10.2008;2008;10;23;6.9;0.1;61.9;35.45
76075 Kosa;24.10.2008;2008;10;24;2.53;16.18;59.8;37.02
76075 Kosa;25.10.2008;2008;10;25;1.86;0.3;59.8;40.67
76075 Kosa;26.10.2008;2008;10;26;2.56;0;61.9;44.24
76075 Kosa;27.10.2008;2008;10;27;3.55;0;66.1;45.21
76075 Kosa;28.10.2008;2008;10;28;3.44;0;73.8;43.63
76075 Kosa;29.10.2008;2008;10;29;4.89;0;83.6;42.04
76075 Kosa;30.10.2008;2008;10;30;5.81;0;88.4;40.51
76075 Kosa;31.10.2008;2008;10;31;7.1;0;89.2;39.03
76075 Kosa;01.11.2008;2008;11;1;5.36;0;80.4;37.61
76075 Kosa;02.11.2008;2008;11;2;4.49;0.55;71;36.34
76075 Kosa;03.11.2008;2008;11;3;1.38;3.58;63.3;35.83
76075 Kosa;04.11.2008;2008;11;4;0.06;0.95;55.1;35.95
76075 Kosa;05.11.2008;2008;11;5;-0.93;4.03;51.2;35.97
76075 Kosa;06.11.2008;2008;11;6;-2.31;2.6;49.2;35.27
76075 Kosa;07.11.2008;2008;11;7;-5.34;2.3;47.9;33.99
76075 Kosa;08.11.2008;2008;11;8;-4.31;2;47.9;32.75
76075 Kosa;09.11.2008;2008;11;9;-4.59;2.18;48.6;31.56
76075 Kosa;10.11.2008;2008;11;10;-0.45;4.78;42.7;30.41
76075 Kosa;11.11.2008;2008;11;11;0.88;5;42.1;30.11
76075 Kosa;12.11.2008;2008;11;12;3.08;1.15;43.4;31.53
76075 Kosa;13.11.2008;2008;11;13;2.05;0;43.4;34.18
76075 Kosa;14.11.2008;2008;11;14;0.41;0;44.7;36.28
76075 Kosa;15.11.2008;2008;11;15;-0.16;0.53;49.2;36.59
76075 Kosa;16.11.2008;2008;11;16;0.05;2.25;56.4;35.61
76075 Kosa;17.11.2008;2008;11;17;1.49;2.18;63.3;34.85
76075 Kosa;18.11.2008;2008;11;18;-0.55;6.25;64.7;34.64
76075 Kosa;19.11.2008;2008;11;19;-3.64;2.75;63.3;34.45
76075 Kosa;20.11.2008;2008;11;20;-3.49;4.08;60.6;33.72
76075 Kosa;21.11.2008;2008;11;21;-1.68;5.13;59.3;32.5
76075 Kosa;22.11.2008;2008;11;22;0.55;2.25;58.6;31.31
76075 Kosa;23.11.2008;2008;11;23;-1.11;2;58.6;30.17
76075 Kosa;24.11.2008;2008;11;24;1.6;0.8;56.5;29.37
76075 Kosa;25.11.2008;2008;11;25;-2.63;0;59.3;28.9
76075 Kosa;26.11.2008;2008;11;26;-3.16;2.95;57.3;28.44
76075 Kosa;27.11.2008;2008;11;27;-2.75;10.75;49.7;27.71
76075 Kosa;28.11.2008;2008;11;28;-5.56;1.98;51;26.7
76075 Kosa;29.11.2008;2008;11;29;0.5;0.63;57.4;25.73
76075 Kosa;30.11.2008;2008;11;30;-1.23;0.13;63.5;24.79
76075 Kosa;01.12.2008;2008;12;1;-2.69;0.18;71.9;23.89
76075 Kosa;02.12.2008;2008;12;2;-0.04;0.7;75.1;23.02
76075 Kosa;03.12.2008;2008;12;3;-0.01;0.88;72.9;22.18
76075 Kosa;04.12.2008;2008;12;4;0.4;2.48;66.2;21.37
76075 Kosa;05.12.2008;2008;12;5;0.61;5.35;59.2;20.59
76075 Kosa;06.12.2008;2008;12;6;1.85;7.63;54.4;21.22
76075 Kosa;07.12.2008;2008;12;7;2.91;1.1;56.2;24.09
76075 Kosa;08.12.2008;2008;12;8;2.24;4.93;66.8;29.21
76075 Kosa;09.12.2008;2008;12;9;0.38;4.75;74.5;34.24
76075 Kosa;10.12.2008;2008;12;10;-3.19;0.2;86;36.82
76075 Kosa;11.12.2008;2008;12;11;-1.36;2.55;97.2;36.95
76075 Kosa;12.12.2008;2008;12;12;-3.85;1.65;103;35.6
76075 Kosa;13.12.2008;2008;12;13;-4.45;1.8;107;34.3
76075 Kosa;14.12.2008;2008;12;14;-12.27;0;103;33.06
76075 Kosa;15.12.2008;2008;12;15;-12.08;0.1;104;31.85
76075 Kosa;16.12.2008;2008;12;16;-8.43;0.5;101;30.69
76075 Kosa;17.12.2008;2008;12;17;-6.91;0.03;98.6;29.58
76075 Kosa;18.12.2008;2008;12;18;-9.2;0.38;94.4;28.5
76075 Kosa;19.12.2008;2008;12;19;-10.21;0.73;91.2;27.46
76075 Kosa;20.12.2008;2008;12;20;-11.54;0.33;79.6;26.46
76075 Kosa;21.12.2008;2008;12;21;-14.84;0.15;66;25.5
76075 Kosa;22.12.2008;2008;12;22;-20.01;0;57;24.57
76075 Kosa;23.12.2008;2008;12;23;-19.13;0;49.6;23.68
76075 Kosa;24.12.2008;2008;12;24;-18.14;0;41.6;22.81
76075 Kosa;25.12.2008;2008;12;25;-18.13;0.03;37.8;21.98
76075 Kosa;26.12.2008;2008;12;26;-14.2;0.48;32.4;21.18
76075 Kosa;27.12.2008;2008;12;27;-9.01;0.65;27.7;20.41
76075 Kosa;28.12.2008;2008;12;28;-7.63;1.9;26;19.67
76075 Kosa;29.12.2008;2008;12;29;-7.8;1.15;24.4;18.95
76075 Kosa;30.12.2008;2008;12;30;-6.25;3.58;25.5;18.26
76075 Kosa;31.12.2008;2008;12;31;-2.94;0.6;27;17.6
76075 Kosa;01.01.2009;2009;1;1;-4.39;1.63;29.9;16.96
76075 Kosa;02.01.2009;2009;1;2;-9;2.38;30.5;16.34
76075 Kosa;03.01.2009;2009;1;3;-14.34;0.7;32.4;15.75
76075 Kosa;04.01.2009;2009;1;4;-19.65;0.38;33.9;15.17
76075 Kosa;05.01.2009;2009;1;5;-20.91;1.23;33.9;14.62
76075 Kosa;06.01.2009;2009;1;6;-21.99;0.45;32.6;14.09
76075 Kosa;07.01.2009;2009;1;7;-16.13;1.85;31.4;13.58
76075 Kosa;08.01.2009;2009;1;8;-11.56;0.95;30.4;13.08
76075 Kosa;09.01.2009;2009;1;9;-16.59;1.28;28.8;12.6
76075 Kosa;10.01.2009;2009;1;10;-15.1;3.5;28;12.15
76075 Kosa;11.01.2009;2009;1;11;-21.41;0.1;26.3;11.7
76075 Kosa;12.01.2009;2009;1;12;-21.69;0.2;25.2;11.28
76075 Kosa;13.01.2009;2009;1;13;-13.38;5.75;23.8;10.87
76075 Kosa;14.01.2009;2009;1;14;-7.64;5.5;23.3;10.47
