Insurer_name
Resource Underwriting Pacific Pty Ltd
St George Underwriting
Suncorp Metway Insurance Limited
Universal Underwriting Agencies Pty Ltd
QBE Mercantile Mutual Ltd (Marine Division)
Vigil Underwriting Agencies Pty Ltd
WFI - Wesfarmers General Insurance Ltd t/as
Whitbread Insurance Brokers
Zurich Australia Maroochydore Sunrise
Zurich Australian Insurance Limited
Zurich Insurance Limited
ZZ SGIC GENERAL INSURANCE LTD.
American Home Assurance Company trading as AIG
Vero CIL Insurances a division of Vero Insurance L
Vero Insurance Limited
Vero National Marine a division of Vero Insurance
CGU Professional Risks Ins, division of CGU Insura
Chubb Insurance Company of Australia Limited
CGU Insurance Ltd Maroochydore QLD Sunrise
Arch Underwriting at Lloyd's (Australia)
Associated Marine Insurers Agents Pty Ltd
Allianz Australia Insurance Limited (QLD)
Allianz Australia Insurance Limited (SA)
Global Transport & Automotive Insurance Solutions
Lumley Insurance - Wesfarmers General Insurance Lt
